VaryasyonID,Barkod,StokKodu,StokAdedi
29659,8681406529849,IFN-2020,8
29657,8681406529825,IFN-2020,8
29663,8681406529856,IFN-2021,10
29664,8681406529863,IFN-2021,4
29665,8681406529870,IFN-2021,8
29672,8681406519482,IFN-2016,7
29674,8681406519505,IFN-2016,2
29690,8681406529948,IFN-2024,0
29691,8681406529955,IFN-2024,0
29697,9000508730,237-001700,2
29824,9000508834,ENM-875,49
29953,8681406531927,PSN-4223,8
29955,8681406531941,PSN-4223,4
29962,8681406531712,PSN-4100,2
29965,8681406531989,PSN-4226,6
29967,8681406532009,PSN-4226,9
29968,8681406531514,PSN-3222,3
29978,8681406532368,PSN-4201,8
29979,8681406532375,PSN-4201,8
29981,8681406532092,PSN-4260,0
29988,8681406531705,PSN-3276,5
29995,8681406531668,PSN-3275,4
29996,8681406531675,PSN-3275,6
29999,8681406531590,PSN-3250,0
30000,8681406531606,PSN-3250,6
30008,8681406531644,PSN-3274,6
30022,8681406531361,PSN-3120,4
30028,8681406531743,PSN-4163,10
30041,9000520895,SST-315-1,23
30042,9000520896,SST-315-1,26
30048,9000520921,SST-295,48
30062,9000448331,SST-367,44
30063,9000448332,SST-367,42
30079,9000520906,SST-835-1,49
30083,8681406532191,PSN-5003,1
30085,8681406532146,PSN-6062,3
30088,8681406532214,PSN-5027,1
30091,8681406531736,PSN-4121,2
30107,9000508595,ENM-539,49
30126,9000508618,ENM-568,48
30130,9000508622,ENM-569,49
30146,9000508610,ENM-565,49
30164,8681406530944,VNS-300-1,5
30171,8681406530852,VNS-100-3,2
30173,8681406530753,VNS-100-1,5
30174,8681406530760,VNS-100-1,7
30175,8681406530777,VNS-100-1,14
30176,8681406530784,VNS-100-1,4
30181,8681406530951,VNS-145-1,0
30194,9000508890,ENM-741,49
30207,8681406531255,IFN-2032,2
30211,8681406531293,IFN-2033,3
30215,8681406531217,IFN-2031,2
30222,8681406531132,IFN-2029,0
30226,8681406531118,IFN-2028,6
30227,8681406531125,IFN-2028,3
30230,8681406532344,PSN-4105,6
30231,9000521778,SST-319-1,48
30235,8681406532184,PSN-5062,4
30236,8681406532207,PSN-5020,9
