product_id,stok_kodu,miktar
27907,BY818-KS,44
27906,BY817-KS,22
27905,BY816-KS,23
27904,BY815-KS,84
27903,BY814-KS,93
27900,BK2351,5
27899,BK2350,7
27898,BK2349,15
27887,BK2347,3
27883,BK2344,7
27881,BK2342,6
27867,HH901-KS,3
27838,BKO4053-KS,3
27830,BK2338,3
27827,BK2335,2
27823,BK2331,6
27808,ES1369-KS,8
27794,ES1355-KS,9
27746,HH878-KS,1
27736,ES1322-KS,6
27732,ES1318-KS,6
27730,ES1316-KS,4
27729,ES1315-KS,10
27721,ES1307-KS,2
27718,ES1304-KS,8
27686,BS1922-KS,1
27673,BS1910-KS,1
27629,CBS363-KS,1
27612,ERK649-KS,2
27603,ERK640-KS,4
27567,ERK604-KS,6
27557,ERK594-KS,3
27556,ERK593-KS,13
27554,ERK591-KS,10
27540,ERK577-KS,24
27538,ERK575-KS,10
27531,ERK568-KS,18
27529,ERK566-KS,17
27522,ERK559-KS,2
27519,ERK556-KS,12
27485,BKO4045-KS,45
27480,BKO4040-KS,1
27479,BKO4039-KS,53
27475,BKO4035-KS,1
27472,BKO4032-KS,3
27452,EG631-KS,4
27406,GG649-KS,1
27403,GG646-KS,3
27391,GG634-KS,1
27346,ES1187-KS,9
27319,EB2193-KS,7
27305,EB2179-KS,15
27279,EB2153-KS,6
27271,EB2145-KS,13
27257,BY803-KS,3
27180,HH852-KS,5
27173,HH845-KS,29
27108,HH820-KS,16
27099,HH811-KS,16
27091,HH803-KS,13
27067,BKP4010-KS,12
27004,BY389,2
27001,BY386,22
26995,BY380,10
26994,BY379,9
26954,BS1848-KS,13
26931,BKO3988-KS,20
26887,BKO3944-KS,14
26876,BKO3933-KS,14
26872,BKO3929-KS,6
26762,SN427-KS,5
26756,SN421-KS,5
26746,SN411-KS,13
26734,SN399-KS,6
26672,BK2265,6
26662,BK2256,7
26575,EB2068-KS,7
26557,EB2050-KS,6
26473,LBS368-KS,2
26432,BK2255,2
26417,BK2243,3
26374,BK2215,20
26349,SCB1022-KS,23
26345,SCB1018-KS,3
26336,BS1828-KS,11
26167,BS1794-KS,6
26090,BKO3859-KS,4
26086,BKO3855-KS,1
26082,BKO3851-KS,36
25948,SGK1049-KS,7
25896,EB1908,3
25893,EB1905,8
25850,BY359,9
25848,BY357,18
25841,BY350,6
25824,BY333,23
25823,BY332,8
25813,BKP3943,7
25812,BKP3942,13
25810,BKP3941,10
25687,SGK1026,6
25650,BB1900,4
25641,BB1890,15
25637,BB1886,6
25633,BB1882,3
25629,BB1878,8
25627,BB1876,2
25611,BKO3863,2
25604,BKO3859,15
25603,BKO3858,25
25587,EB1878,18
25583,EB1874,7
25576,EB1867,6
25571,EB1862,7
25564,EB1855,2
25557,EB1848,7
25497,EY224,21
25449,EB1783,21
25279,BS1742,18
25273,BS1736,7
25264,BS1727,7
25142,BS1649,18
25141,BS1648,10
25121,BS1628,20
25111,BS1618,8
24912,BKO3769,8
24883,EY214,16
24781,BKO3469,1
24754,BKO3440,1
24743,BKO3429,8
24734,BB1859,1
24728,BB1853,1
24726,BB1851,30
24721,BB1846,3
24720,BB1845,4
24715,BB1840,18
24705,BB1830,2
24702,BB1827,2
24701,BB1826,7
24606,BKO3641,17
24602,BKO3637,22
24563,BKO3592,4
24460,BS1602,4
24457,BS1599,6
24183,BRS273,17
24182,BRS272,45
23941,ERK438,8
23886,BKO3417,16
23588,TSH945,10
23577,TSH933,13
23571,TSH927,4
23568,TSH924,4
23561,TSH917,12
23554,TSH910,15
23552,TSH908,13
23537,TSH905,12
